id,response
bubble7,50
bubble10,60
pie5,25
pie14,70
bubble11,70
pie7,30
pie13,70
bubble6,40
bar9,50
pie16,85
pie15,60
bubble3,30
bar19,95
bar12,60
bar6,30
bar17,90
bubble9,70
bubble4,30
pie4,10
pie1,5
bar14,75
bubble16,90
bubble1,10
bar4,15
pie2,10
bar1,5
bubble20,100
bar8,40
bubble17,95
bar3,10
bubble18,95
bubble15,85
bubble12,70
bubble5,40
pie8,30
bubble13,60
pie6,30
bubble14,70
bar11,50
pie12,50
bar18,90
bar7,30
bubble19,100
bar16,80
pie17,100
pie10,50
pie18,70
bar13,60
bar2,5
bubble2,15
pie3,10
bubble8,60
pie11,60
bar20,100
bar10,50
pie19,50
bar15,75
pie9,40
bar5,25
pie20,90
